,Recording,Unit number,sig events,not sig events,putative type
35,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,74,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
36,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,126,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",interneuron
37,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,162,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
38,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,176,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
39,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,210,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
40,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,211,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
41,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,240,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
42,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,273,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
43,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,283,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
44,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,334,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
45,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,337,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
46,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,351,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
47,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,400,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
48,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,403,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
49,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,21,[],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
50,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,54,[],"['competitive_win', 'no_comp_lose', 'no_comp_win']",interneuron
51,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,60,[],"['competitive_win', 'no_comp_lose', 'no_comp_win']",interneuron
52,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,223,[],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
53,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,300,['no_comp_lose'],"['competitive_win', 'no_comp_win']",pyramidal
54,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,479,['no_comp_win'],"['competitive_win', 'no_comp_lose']",pyramidal
55,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,481,[],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
56,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,489,[],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
57,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,4,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",pyramidal
58,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,6,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
59,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,7,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
60,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,9,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
61,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,10,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",interneuron
62,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,12,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
63,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,20,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",pyramidal
64,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,21,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
65,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,22,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
66,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,23,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
67,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,24,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",interneuron
68,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,26,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
69,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,28,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
70,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,30,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
71,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,32,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
72,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,33,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
73,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,34,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
74,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,44,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
75,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,52,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
76,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,53,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
77,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,54,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
78,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,107,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",pyramidal
79,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,143,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
80,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,144,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
81,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,145,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
82,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,174,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
83,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,181,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
84,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,183,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",interneuron
85,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,195,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
86,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,197,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
87,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,203,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
88,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,207,[],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
89,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,0,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
90,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,5,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",interneuron
91,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,6,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
92,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,12,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
93,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,44,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
94,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,75,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
95,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,76,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
96,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,86,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
97,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,154,['no_comp_lose'],"['competitive_lose', 'competitive_win', 'no_comp_win']",pyramidal
98,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,172,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
99,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,175,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
100,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,176,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
101,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,192,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
102,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,220,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
103,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,229,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
104,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,245,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
105,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,248,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
106,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,289,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
107,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,290,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
108,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,295,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",interneuron
109,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,12,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
110,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,13,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
111,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,14,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
112,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,18,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
113,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,21,['no_comp_lose'],"['competitive_lose', 'competitive_win', 'no_comp_win']",pyramidal
114,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,22,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
115,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,34,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
116,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,88,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
117,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,119,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
118,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,126,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
119,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,175,['no_comp_win'],"['competitive_lose', 'competitive_win', 'no_comp_lose']",pyramidal
120,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,251,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
121,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,285,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
122,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,298,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",interneuron
123,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,331,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
124,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,369,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
125,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,373,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
126,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,376,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
127,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,383,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
128,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,390,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
129,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,391,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
130,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,9,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
131,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,13,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
132,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,18,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
133,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,43,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
134,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,46,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
135,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,67,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
136,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,68,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
137,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,76,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
138,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,89,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
139,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,90,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
140,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,106,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
141,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,120,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
142,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,122,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
143,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,128,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
144,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,133,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
145,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,151,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",interneuron
146,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,180,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
147,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,186,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
148,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,193,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
149,20230616_111904_standard_comp_to_training_D4_subj_1-4_t4b3L_box1_merged.rec,53,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
150,20230616_111904_standard_comp_to_training_D4_subj_1-4_t4b3L_box1_merged.rec,61,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
151,20230616_111904_standard_comp_to_training_D4_subj_1-4_t4b3L_box1_merged.rec,63,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
152,20230616_111904_standard_comp_to_training_D4_subj_1-4_t4b3L_box1_merged.rec,64,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
153,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,3,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
154,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,4,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
155,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,5,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
156,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,6,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
